Month_Year,$FutureFlag,Occupancy_Rate,$TS-Occupancy_Rate,$TSLCI-Occupancy_Rate,$TSUCI-Occupancy_Rate
Jan 2014,0,36.700,36.171,32.708,39.634
Feb 2014,0,42.169,43.081,39.618,46.543
Mar 2014,0,41.482,40.602,37.139,44.064
Apr 2014,0,41.521,41.295,37.832,44.758
May 2014,0,49.241,48.893,45.430,52.355
Jun 2014,0,59.172,61.690,58.228,65.153
Jul 2014,0,76.434,74.458,70.996,77.921
Aug 2014,0,83.694,79.322,75.859,82.785
Sep 2014,0,57.039,61.588,58.126,65.051
Oct 2014,0,54.056,55.993,52.530,59.456
Nov 2014,0,38.136,38.315,34.852,41.778
Dec 2014,0,38.596,36.746,33.283,40.209
Jan 2015,0,37.600,36.180,32.717,39.643
Feb 2015,0,43.972,43.178,39.715,46.640
Mar 2015,0,41.812,40.868,37.405,44.331
Apr 2015,0,40.342,41.568,38.105,45.031
May 2015,0,50.153,49.021,45.558,52.484
Jun 2015,0,64.761,61.897,58.434,65.360
Jul 2015,0,75.193,75.200,71.737,78.663
Aug 2015,0,76.780,79.866,76.404,83.329
Sep 2015,0,60.296,61.392,57.929,64.854
Oct 2015,0,55.894,56.139,52.676,59.602
Nov 2015,0,37.601,38.629,35.167,42.092
Dec 2015,0,34.984,36.976,33.513,40.439
Jan 2016,0,34.582,36.028,32.565,39.491
Feb 2016,0,41.464,42.741,39.278,46.204
Mar 2016,0,39.317,40.226,36.763,43.689
Apr 2016,0,41.628,40.742,37.279,44.204
May 2016,0,49.607,48.405,44.942,51.867
Jun 2016,0,61.122,61.287,57.824,64.750
Jul 2016,0,74.002,74.289,70.826,77.752
Aug 2016,0,77.023,78.928,75.465,82.391
Sep 2016,0,62.837,60.570,57.108,64.033
Oct 2016,0,56.366,55.652,52.189,59.115
Nov 2016,0,38.047,38.238,34.775,41.700
Dec 2016,0,35.999,36.668,33.205,40.131
Jan 2017,0,35.070,35.851,32.388,39.314
Feb 2017,0,43.774,42.630,39.167,46.093
Mar 2017,0,39.215,40.355,36.893,43.818
Apr 2017,0,40.759,40.848,37.385,44.311
May 2017,0,45.548,48.414,44.951,51.877
Jun 2017,0,60.548,60.893,57.430,64.356
Jul 2017,0,72.046,73.877,70.414,77.340
Aug 2017,0,78.848,78.362,74.899,81.825
Sep 2017,0,63.500,60.242,56.779,63.705
Oct 2017,0,56.783,55.423,51.960,58.885
Nov 2017,0,39.372,38.072,34.609,41.535
Dec 2017,0,37.374,36.651,33.188,40.113
Jan 2018,1,$null$,35.972,32.509,39.435
Feb 2018,1,$null$,42.829,39.349,46.309
Mar 2018,1,$null$,40.441,36.944,43.937
Apr 2018,1,$null$,41.047,37.533,44.560
May 2018,1,$null$,48.622,45.091,52.152
Jun 2018,1,$null$,61.385,57.837,64.932
Jul 2018,1,$null$,74.403,70.839,77.967
Aug 2018,1,$null$,79.070,75.490,82.651
Sep 2018,1,$null$,60.902,57.305,64.499
Oct 2018,1,$null$,55.759,52.145,59.372
Nov 2018,1,$null$,38.273,34.643,41.903
Dec 2018,1,$null$,36.722,33.076,40.369
